Dia_inch,load_lbf,thickness_mm,max_stress_ksi,allowed_stress_ksi,actual_per_allowed_stress,stress_criteria,max_deflection_inch,allowed_deflection_inch,actual_per_allowed_deflection,deflection_criteria
2,50,1.24,21.754,30,0.725133333,Pass,0.94,2.5,0.376,Pass
2,80,1.24,34.8064,30,1.160213333,Fail,1.5045,2.5,0.6018,Pass
2,150,1.24,65.2619,30,2.175396667,Fail,2.821,2.5,1.1284,Fail
2,200,1.24,87.0159,30,2.90053,Fail,3.7614,2.5,1.50456,Fail
2,320,1.24,139.2254,30,4.640846667,Fail,6.0182,2.5,2.40728,Fail
2,400,1.24,174.0318,30,5.80106,Fail,7.5227,2.5,3.00908,Fail
2,50,1.65,18.5686,30,0.618953333,Pass,0.752137,2.5,0.3008548,Pass
2,80,1.65,29.7097,30,0.990323333,Pass,1.2034,2.5,0.48136,Pass
2,150,1.65,55.7057,30,1.856856667,Fail,2.2564,2.5,0.90256,Pass
2,200,1.65,74.2743,30,2.47581,Fail,3.0085,2.5,1.2034,Fail
2,320,1.65,118.8389,30,3.961296667,Fail,4.8137,2.5,1.92548,Fail
2,400,1.65,148.5486,30,4.95162,Fail,6.0171,2.5,2.40684,Fail
2,50,2,16.8698,30,0.562326667,Pass,0.642922,2.5,0.2571688,Pass
2,80,2,26.9917,30,0.899723333,Pass,1.0287,2.5,0.41148,Pass
2,150,2,50.6094,30,1.68698,Fail,1.9288,2.5,0.77152,Pass
2,200,2,67.4792,30,2.249306667,Fail,2.5717,2.5,1.02868,Fail
2,320,2,107.9667,30,3.59889,Fail,4.1147,2.5,1.64588,Fail
2,400,2,134.9583,30,4.49861,Fail,5.1434,2.5,2.05736,Fail
2,50,2.5,15.2352,30,0.50784,Pass,0.536617,2.5,0.2146468,Pass
2,80,2.5,24.3763,30,0.812543333,Pass,0.858586,2.5,0.3434344,Pass
2,150,2.5,45.7056,30,1.52352,Fail,1.6098,2.5,0.64392,Pass
2,200,2.5,60.9408,30,2.03136,Fail,2.1465,2.5,0.8586,Pass
2,320,2.5,97.5053,30,3.250176667,Fail,3.4343,2.5,1.37372,Fail
2,400,2.5,121.8817,30,4.062723333,Fail,4.2929,2.5,1.71716,Fail
2,50,3,13.6337,30,0.454456667,Pass,0.465663,2.5,0.1862652,Pass
2,80,3,21.8139,30,0.72713,Pass,0.745061,2.5,0.2980244,Pass
2,150,3,40.901,30,1.363366667,Fail,1.397,2.5,0.5588,Pass
2,200,3,54.5347,30,1.817823333,Fail,1.8627,2.5,0.74508,Pass
2,320,3,87.2555,30,2.908516667,Fail,2.9802,2.5,1.19208,Fail
2,400,3,109.0694,30,3.635646667,Fail,3.7253,2.5,1.49012,Fail
2,50,3.42,12.6338,30,0.421126667,Pass,0.421787,2.5,0.1687148,Pass
2,80,3.42,20.2141,30,0.673803333,Pass,0.674859,2.5,0.2699436,Pass
2,150,3.42,37.9015,30,1.263383333,Fail,1.2654,2.5,0.50616,Pass
2,200,3.42,50.5353,30,1.68451,Fail,1.6871,2.5,0.67484,Pass
2,320,3.42,80.8565,30,2.695216667,Fail,2.6994,2.5,1.07976,Fail
2,400,3.42,101.0706,30,3.36902,Fail,3.3743,2.5,1.34972,Fail
